Codi IDESCAT,Codi INE,Municipi,Codi Comarca 2023,Comarca 2023,Codi Província,Província,Àmbit funcional,Any,Iniciats HPO,Acabats HPO,Longitud Municipi,Latitud Municipi,Georeferència Municipi
080095,08009,Argentona,21,Maresme,08,Barcelona,Metropolità,2009,0,0,2.400515899,41.55564404,POINT (2.400515899 41.55564404)
431457,43145,"Selva del Camp, la",08,Baix Camp,43,Tarragona,Camp de Tarragona,2022,0,0,1.136882482,41.21515423,POINT (1.136882482 41.21515423)
251804,25180,Puiggròs,18,Garrigues,25,Lleida,Ponent,2005,0,0,0.889455565,41.55171932,POINT (0.889455565 41.55171932)
171925,17192,Setcases,31,Ripollès,17,Girona,Comarques Gironines,2009,0,0,2.30136792,42.37496369,POINT (2.30136792 42.37496369)
431135,43113,"Pont d'Armentera, el",01,Alt Camp,43,Tarragona,Camp de Tarragona,2006,0,0,1.362939374,41.38374894,POINT (1.362939374 41.38374894)
080543,08054,Castellbisbal,40,Vallès Occidental,08,Barcelona,Metropolità,2021,0,0,1.981226635,41.47487524,POINT (1.981226635 41.47487524)
080594,08059,Castellfollit del Boix,07,Bages,08,Barcelona,Comarques Centrals,2016,0,0,1.683366337,41.66718916,POINT (1.683366337 41.66718916)
082628,08262,Sant Vicenç de Castellet,07,Bages,08,Barcelona,Comarques Centrals,2018,0,0,1.863615971,41.6655524,POINT (1.863615971 41.6655524)
170209,17020,Bescanó,20,Gironès,17,Girona,Comarques Gironines,2009,0,0,2.743365182,41.96540335,POINT (2.743365182 41.96540335)
082153,08215,Sant Hipòlit de Voltregà,24,Osona,08,Barcelona,Comarques Centrals,2014,0,0,2.236199081,42.01554645,POINT (2.236199081 42.01554645)
430635,43063,"Galera, la",22,Montsià,43,Tarragona,Terres de l'Ebre,2003,1,2,0.463731007,40.68155614,POINT (0.463731007 40.68155614)
080348,08034,Calders,42,Moianès,08,Barcelona,Comarques Centrals,2019,0,0,1.991322594,41.78927569,POINT (1.991322594 41.78927569)
251410,25141,Montoliu de Segarra,32,Segarra,25,Lleida,Ponent,2022,0,0,1.269958038,41.5902694,POINT (1.269958038 41.5902694)
431153,43115,Pradell de la Teixeta,29,Priorat,43,Tarragona,Camp de Tarragona,2008,0,0,0.875646887,41.15619339,POINT (0.875646887 41.15619339)
082747,08274,Súria,07,Bages,08,Barcelona,Comarques Centrals,2016,0,0,1.753565253,41.83146668,POINT (1.753565253 41.83146668)
170502,17050,Cervià de Ter,20,Gironès,17,Girona,Comarques Gironines,2012,0,0,2.910632032,42.06723626,POINT (2.910632032 42.06723626)
081810,08181,"Roca del Vallès, la",41,Vallès Oriental,08,Barcelona,Metropolità,2018,0,0,2.325763581,41.58756871,POINT (2.325763581 41.58756871)
082233,08223,Sant Llorenç Savall,40,Vallès Occidental,08,Barcelona,Metropolità,2017,0,0,2.059726584,41.67938291,POINT (2.059726584 41.67938291)
171518,17151,Riumors,02,Alt Empordà,17,Girona,Comarques Gironines,2023,0,0,3.043026927,42.22682952,POINT (3.043026927 42.22682952)
082418,08241,Sant Sadurní d'Osormort,24,Osona,08,Barcelona,Comarques Centrals,2003,0,0,2.381388572,41.90185693,POINT (2.381388572 41.90185693)
089030,08903,Sant Julià de Cerdanyola,14,Berguedà,08,Barcelona,Comarques Centrals,2009,0,0,1.892917871,42.22384293,POINT (1.892917871 42.22384293)
252167,25216,Talavera,32,Segarra,25,Lleida,Ponent,2002,0,0,1.338415635,41.58183982,POINT (1.338415635 41.58183982)
431233,43123,Reus,08,Baix Camp,43,Tarragona,Camp de Tarragona,2015,0,46,1.108491969,41.15501639,POINT (1.108491969 41.15501639)
